"crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"2021-12-08T00:00:00.000","16:20","MANHATTAN","10128","40.776237","-73.943825","
,  
(40.776237, -73.943825)","EAST END AVENUE","EAST 88 STREET",,"0","0","0","0","0","0","0","0","Failure to Yield Right-of-Way","Unspecified",,,,"4485234","Taxi","Station Wagon/Sport Utility Vehicle",,,
"2021-12-09T00:00:00.000","23:15","BROOKLYN","11218","40.640835","-73.98967","
,  
(40.640835, -73.98967)","12 AVENUE","41 STREET",,"1","0","0","0","1","0","0","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4485355","Sedan","Bike",,,
"2021-12-01T00:00:00.000","14:34","QUEENS","11692","40.593636","-73.797264","
,  
(40.593636, -73.797264)",,,"437       BEACH 68 STREET","0","0","0","0","0","0","0","0","Unsafe Speed","Unspecified",,,,"4485581","Sedan","Pick-up Truck",,,
"2021-12-10T00:00:00.000","7:00","QUEENS","11420","40.674263","-73.80453","
,  
(40.674263, -73.80453)",,,"122-42    134 STREET","0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4485866","Sedan",,,,
"2021-12-07T00:00:00.000","9:20",,,"40.70476","-73.96491","
,  
(40.70476, -73.96491)","TAYLOR STREET",,,"0","0","0","0","0","0","0","0","Steering Failure",,,,,"4485192","Station Wagon/Sport Utility Vehicle",,,,
"2021-12-09T00:00:00.000","8:00",,,"40.569626","-74.190735","
,  
(40.569626, -74.190735)","WEST SHORE EXPRESSWAY",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4485214","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-12-07T00:00:00.000","17:08","BROOKLYN","11205","40.698463","-73.960205","
,  
(40.698463, -73.960205)","FLUSHING AVENUE","KENT AVENUE",,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4485437",,,,,
"2021-12-05T00:00:00.000","8:20","BROOKLYN","11212","40.658413","-73.9171","
,  
(40.658413, -73.9171)",,,"393       ROCKAWAY PARKWAY","0","0","0","0","0","0","0","0","Unspecified",,,,,"4485408","Sedan",,,,
"2021-12-08T00:00:00.000","19:30","MANHATTAN","10022","40.76175","-73.96899","
,  
(40.76175, -73.96899)",,,"127       EAST 58 STREET","1","0","0","0","1","0","0","0","Following Too Closely","Reaction to Uninvolved Vehicle",,,,"4484852","Station Wagon/Sport Utility Vehicle","Bike",,,
"2021-12-08T00:00:00.000","12:00","MANHATTAN","10011","40.736614","-73.9951","
,  
(40.736614, -73.9951)",,,"44        WEST 14 STREET","1","0","0","0","1","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4485542","Box Truck","Bike",,,
"2021-12-10T00:00:00.000","8:06",,,,,,"FLATBUSH AVENUE","GRAND ARMY PLAZA",,"0","0","0","0","0","0","0","0","Unsafe Lane Changing","Unspecified",,,,"4485170","Garbage or Refuse","Sedan",,,
"2021-12-08T00:00:00.000","19:30",,,,,,"OCEAN PARKWAY",,,"4","0","0","0","0","0","4","0","Unsafe Speed","Unspecified",,,,"4485523","Taxi","Station Wagon/Sport Utility Vehicle",,,
"2021-12-08T00:00:00.000","22:37","STATEN ISLAND","10314","40.62121","-74.12385","
,  
(40.62121, -74.12385)",,,"288       MANOR ROAD","0","0","0","0","0","0","0","0","Pavement Slippery",,,,,"4484906","Sedan",,,,
"2021-12-08T00:00:00.000","17:56",,,"40.873737","-73.90593","
,  
(40.873737, -73.90593)","MAJOR DEEGAN EXPRESSWAY",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4485036","Sedan",,,,
"2021-12-07T00:00:00.000","7:50",,,"40.66718","-73.95076","
,  
(40.66718, -73.95076)","CARROLL STREET",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4485772","Sedan","Sedan",,,
"2021-12-08T00:00:00.000","0:44","QUEENS","11101","40.754295","-73.93946","
,  
(40.754295, -73.93946)","23 STREET","40 AVENUE",,"0","0","0","0","0","0","0","0","View Obstructed/Limited",,,,,"4485565","Sedan",,,,
"2021-12-08T00:00:00.000","15:00",,,"40.588116","-73.97261","
,  
(40.588116, -73.97261)","AVENUE Y",,,"0","0","0","0","0","0","0","0","Passing Too Closely",,,,,"4484836","Sedan",,,,
"2021-12-10T00:00:00.000","11:00","BRONX","10461","40.854935","-73.85822","
,  
(40.854935, -73.85822)",,,"2123      LURTING AVENUE","0","0","0","0","0","0","0","0","Oversized Vehicle","Unspecified",,,,"4485340","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-12-10T00:00:00.000","1:10",,,"40.662575","-73.93448","
,  
(40.662575, -73.93448)","SCHENECTADY AVENUE",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4485706","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-12-09T00:00:00.000","0:00",,,"40.7448","-73.953415","
,  
(40.7448, -73.953415)","47 ROAD",,,"1","0","1","0","0","0","0","0","Unspecified",,,,,"4485384","Sedan",,,,
"2021-12-08T00:00:00.000","18:36",,,"40.79672","-73.97618","
,  
(40.79672, -73.97618)","HENRY HUDSON PARKWAY",,,"0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4484799","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-12-09T00:00:00.000","20:30","QUEENS","11004","40.752777","-73.70743","
,  
(40.752777, -73.70743)",,,"269-01    76 AVENUE","0","0","0","0","0","0","0","0","Illnes",,,,,"4485077","Sedan",,,,
"2021-12-09T00:00:00.000","10:13","BROOKLYN","11203","40.638523","-73.92607","
,  
(40.638523, -73.92607)","KINGS HIGHWAY","FARRAGUT ROAD",,"2","0","0","0","0","0","2","0","Traffic Control Disregarded","Traffic Control Disregarded",,,,"4485090","Sedan","Sedan",,,
"2022-03-26T00:00:00.000","14:00","STATEN ISLAND","10301","40.637833","-74.08193","
,  
(40.637833, -74.08193)","CORSON AVENUE","WESTERVELT AVENUE",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4513697","Sedan","Sedan",,,
"2022-03-26T00:00:00.000","1:02","MANHATTAN","10025","40.797836","-73.96946","
,  
(40.797836, -73.96946)","WEST 101 STREET","BROADWAY",,"1","0","0","0","0","0","1","0","Traffic Control Disregarded","Unspecified",,,,"4513935","Sedan","Moped",,,
"2022-03-26T00:00:00.000","16:02","QUEENS","11373","40.734375","-73.87342","
,  
(40.734375, -73.87342)","QUEENS BOULEVARD","57 AVENUE",,"1","0","0","0","0","0","1","0","Lost Consciousness","Unspecified",,,,"4513794","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2022-03-26T00:00:00.000","16:05","QUEENS","11411","40.699947","-73.736626","
,  
(40.699947, -73.736626)","115 AVENUE","221 STREET",,"1","0","0","0","0","0","1","0","Following Too Closely","Unspecified",,,,"4514267","Station Wagon/Sport Utility Vehicle","Bus",,,
"2022-03-21T00:00:00.000","12:05","MANHATTAN","10018","40.75632","-73.999275","
,  
(40.75632, -73.999275)",,,"515       WEST 36 STREET","1","0","0","0","0","0","1","0","Following Too Closely","Unspecified",,,,"4514237","Motorcycle","Sedan",,,
"2022-03-26T00:00:00.000","5:13","QUEENS","11418","40.69614","-73.81789","
,  
(40.69614, -73.81789)","131 STREET","ATLANTIC AVENUE",,"0","0","0","0","0","0","0","0","Failure to Yield Right-of-Way","Unspecified",,,,"4513470","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
